Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Falkland Islands,Americas,1886,54148.722,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Niue,Western Pacific,80,4944.376,2,123.609,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Saint Helena,Africa,566,9323.011,449,7395.816,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,20,169.607,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,6389,36375.541,0,0,0,1,5.693,0,0,0
Nauru,Western Pacific,4610,42551.228,0,0,0,1,9.23,0,0,0
Saint Pierre and Miquelon,Americas,3188,55012.942,8,138.05,0,1,17.256,0,0,0
Saba,Americas,726,37558.2,0,0,0,2,103.466,0,0,0
Saint Barthélemy,Americas,5263,53242.286,0,0,0,5,50.582,0,0,0
Sint Eustatius,Americas,1196,38101.306,2,63.715,0,5,159.286,0,0,0
Palau,Western Pacific,5445,30096.175,15,82.91,0,6,33.164,0,0,0
Wallis and Futuna,Western Pacific,761,6766.85,0,0,0,7,62.244,0,0,0
Montserrat,Americas,1381,27625.525,55,1100.22,0,8,160.032,0,0,0
Anguilla,Americas,3858,25716.571,2,13.332,0,12,79.989,0,0,0
Tonga,Western Pacific,16182,15310.09,0,0,0,12,11.353,0,0,0
Kiribati,Western Pacific,3430,2871.518,0,0,0,13,10.883,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Vanuatu,Western Pacific,11950,3890.671,13,4.233,0,14,4.558,0,0,0
Burundi,Africa,50066,421.049,109,0.917,0,15,0.126,0,0,0
Marshall Islands,Western Pacific,15224,25718.823,11,18.583,0,17,28.719,0,0,0
Bhutan,South-East Asia,61730,8000.176,81,10.498,0,21,2.722,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Samoa,Western Pacific,15925,8026.147,0,0,0,29,14.616,0,0,0
Bonaire,Americas,9401,44948.601,15,71.719,0,31,148.219,0,0,0
Cayman Islands,Americas,30545,46477.48,0,0,0,31,47.17,0,0,0
Micronesia,Western Pacific,10057,8743.469,47,40.861,0,31,26.951,1,0.869,0
American Samoa,Western Pacific,8244,14935.594,9,16.305,0,34,61.598,0,0,0
Turks and Caicos Islands,Americas,6380,16478.124,0,0,0,36,92.98,0,0,0
Northern Mariana Islands,Western Pacific,13166,22874.715,12,20.849,0,40,69.496,0,0,0
Saint Kitts and Nevis,Americas,6543,12300.722,2,3.76,0,46,86.479,0,0,0
